source_platform,source_item_id,source_url,collection_method,created_at_utc,title,body_text,description,transcript,comments_json
facebook,6e905dc7eecf976713691d45,https://www.facebook.com/photo?fbid=122154865694961632&set=gm.27022735664000042&idorvanity=9612195335480678,manual_csv,,,"Yes I support however Ai only helps human to make things faster such as automation of repetition tasks, workflow, process, behavioral temporal analysis and so, however human still govern over AI so that it makes healthcare humanize.",,,
facebook,34805e71c1dd1b7703497701,https://www.facebook.com/photo/?fbid=10238784525054794&set=a.1065516121217,manual_csv,,,"Your doctor thinks they don't need to use AI? 🙄
Cute.

No.

Arrogant.

Thank God they're not all prideful like this.
I follow a doctor who very confidently says other doctors should soon be considered to be engaging in malpractice if they are not using AI to assist them.

.
I mean, you're scared of the risks of AI. I get it.
Well, people were scared of the Internet.

AI will be used to do unspeakable atrocities. True.
The internet is used to do unspeakable atrocities!

If you use AI for ONE thing, at least use it to get a 2nd medical opinion!

For heaven's sake, it's been objectively proven to be better at diagnosing than doctors (with text inputs)... almost 2 years now!

I can't wait until they're all forced to finally humble themselves.
I can't wait until I can tell my doctor ""you're wrong!.. because AI said so,"" and not seem crazy.

But for now the elitist, gatekeeper, cartels still gets to act elite.

You think I'm crazy now.

Maybe thats because you're using the cheap version.

Get GPT 5.1 Pro. It knows 10,000 times what your doctor knows about health,
+ does better at math, physics, art, etc at the same time.
(and there's a way to get it pretty cheap by paying per prompt instead of a $200 monthly fee).

These are horse-and-buggy people with their prize horses... mocking cars because they need gas.

Meanwhile
● Elon Musk says AI that came out 6 months ago is smarter than any individual human in every field, based on passing the hardest tests our smartest humans could come up with. We won't even be able to make tests for them anymore in most subjects, because we won't be smart enough.
● My programmer friend automated his job, so he's working 2 ""full-time"" jobs with free time.

Unfortunately, the ones not recognizing reality and keeping up to date are still the ones still control your treatments.

You think I'm crazy?

Remember this post

Remember it.

It will 100% age well.

Come back in 5 years.

.

Oh..

A.I. still sucks at a lot of things.
I get that.

Assessing data input is not one it.

And it has privacy concerns. I get that.
But I say ""to hell with privacy about our health,"" when people are suffering and dying.

It's not asking for your password when youre talking about your illness.",,,
facebook,ae62da04dbdfd38ac84d20d6,https://www.facebook.com/photo/?fbid=1540955270393374&set=gm.25378151465125145&idorvanity=9612195335480678,manual_csv,,,"That’s a great question! 😊 AI is actually proving very reliable — studies show it can spot kidney problems up to 48 hours earlier than traditional tests. Tools like Google’s DeepMind and Mayo Clinic’s models analyze subtle data patterns that even doctors might miss early on. Of course, AI doesn’t replace doctors — it just gives them a powerful early-warning system to act faster.",,,
facebook,b38c63f3dd0cae82e91fc042,https://www.facebook.com/reel/755240580890206,manual_csv,,,"You Can’t Trust AI
Is AI giving you answers—or just gathering trends?
People are starting to treat AI as if it’s all-knowing, but the reality is much simpler: When it comes to health, AI is just a hodgepodge summary of theories and trends gathered from the internet, many of which are untrue, unhelpful, or even harmful.
When you type in a question about your health, AI isn't giving you the truth—it’s just shoving back the same misinformation that’s already circulating. It’s like Wikipedia in a different package. If you're looking to AI to tell you how to heal, you’re going to get the same misinformation, theories, and marketing hooks that the rest of the industry is pushing.
Healing comes from knowing the actual truth about what’s behind your health struggles.",,,
facebook,cf648fc3de1184e6fe1c9258,https://www.facebook.com/reel/755240580890206,manual_csv,,,Wikipedia actually has more accuracy than AI because it is just one of many sources AI consults.,,,
facebook,f2cf210ba9afd543f9615e6c,https://www.facebook.com/photo/?fbid=1416235357219189&set=a.385140500328685,manual_csv,,,Sounds like a great plan … let a hallucinating lying equation tell you what to do with your health …. Sure to work out just fine,,,
facebook,0d68b303d998632da3eca661,https://www.facebook.com/photo/?fbid=1416235357219189&set=a.385140500328685,manual_csv,,,About as accurate as google ! 🤣🤣🤣,,,
facebook,d0b727673de5046225b7c0e2,https://www.facebook.com/photo/?fbid=1907783636526389&set=a.1223460611625365,manual_csv,,,"Good, get rid of AI. I want a human taking care of my needs at all times, at every level.",,,
facebook,10522b4cffb5f259bee320a1,https://www.facebook.com/photo/?fbid=1907783636526389&set=a.1223460611625365,manual_csv,,,"Fuck the client....the customer is entitled to seek second opinion, buy a different provider , or avoid the business....infact service providers shoudl refuse to engage with medical clients whose values do not allign ..",,,
facebook,0fa456d12d8ca8670f0f9a06,https://www.facebook.com/photo/?fbid=1907783636526389&set=a.1223460611625365,manual_csv,,,"We encountered it in urgent care. It left absolute garbage in his legal record of his accident. Fortunately I caught it and sent it to data integrity and also the Dr.’s office to get it fixed immediately, because you know attorneys are going to attack the validity of AI medical records.
I didn’t consent to it when my doctor’s practice had the consent separated out. Nope nope nope. Never. I need my records to be accurate.",,,
facebook,ac0c49bddb1e651ab72687dd,https://www.facebook.com/DiscoverMag/posts/pfbid0FfC1Qo9AkZueXW4gd3aoRBXSxkbF5BhzTiap1bZcUFDeVu2cfyWVBHML71HyauBNl,manual_csv,,,I used Claude AI to translate the entire blood test lab reports into English. It works great! Much quicker than googling individual terms!,,,
facebook,e5b5c30d289bd2396f75f518,https://www.facebook.com/DiscoverMag/posts/pfbid0FfC1Qo9AkZueXW4gd3aoRBXSxkbF5BhzTiap1bZcUFDeVu2cfyWVBHML71HyauBNl,manual_csv,,,"AI is willing to explain and discuss issues without insurance-imposed time limit, and ultimately have access to the entire range of conditions and therapies across the Internet that may not be available to PCPs. Specialists are even more jealous of their time.",,,
facebook,fd380d35e4107b00ecc10375,https://www.facebook.com/reel/1467358431740029/,manual_csv,,,I don't ask ChatGPT about symptoms. I give a time line of tracked symptoms and then I upload my labs and ask questions.,,,
facebook,ed7824dc9ea095e8cd7bf648,https://www.facebook.com/EkstraOrdinaryOo/posts/pfbid02dn5cK5UT3Cs5meetJTYNnr7qnRG4LZYHUc1i8cGgVsm3ftFHqJmJMCXcPL77qrPKl,manual_csv,,,"I love mine for my health and diet
Your gotta be logical
I am going throu my docs of course
But for simple stuff like I take a pic of my seating position and tell it I have costochondritis and it tells me about my position and how it makes it worse
I listen and it gets better
Helps with exercise
Best foods for reflux
As I show it pic of my food and say is that ok today for my health condition.
I always cross match what it says with google and my docs",,,
facebook,f3e251496688e502d3a23cd7,https://www.facebook.com/share/p/1CLsvNEiMi/,manual_csv,,,"Gusto ko lang po na makatulong sa mga may DEPRESYON. Sa hirap ng buhay ngayon, marami ang nadedepress. Ayon sa mga dalubhasa ang mga may depresyon dapat daw palaging may kausap o, dapat palaging kinakausap pero paano kung WALA SIYANG MAKAUSAP o, walang kumakausap sa kanya? Sabi ni Chatgpt, makakatulong siya sa mga may depresyon na mabawasan ang kanilang depresyon dahil palagi siyang handang makipag-usap, makinig at magpayo mula sa Bibliya na bukod tanging mapagkukunan ng tunay na sagot sa mga prolema natin dahil ang mga mabubuting payo dito ay mula sa Diyos. Kung may depresyon ka, sabihin mo kay Chatgpt ang mga problema mo at humingi ng payo mula sa Bibliya. Pa-likes ang shares baka po makatulong tayo sa mga may depresyon.",,,
facebook,af30fc81344a2f2458957dd7,https://www.facebook.com/share/p/1AnZB52agM/,manual_csv,,,"Just sharing this from chat gpt
I've been so down and depressed lately on and off I'm 22 yrs old single mom and graduates na din Sana ngayon but I failed some subjects so another year nanaman and na diagnosed ako ng depression last Last year and since then until now nag t take ako ng med Pati pampatulog last month nadagdagan dahil sa anxiety and follow up ko Sana last week but Currently dahil s abagyo na urong ng na urong so wala ako mapagsabihan ng thoughts and feelings ko and naisipan ko maglabas at makipag usap Kay chatgpt waiting nalang sa follow up ko ngayon month super thankful talaga ako Kay chat gpt sa pagpapagaan niya ng loob ko Pag cla clarify sa mga iniisip ko",,,
